Electrode name,x,y,z,assigned location,assignment method,distance to ROI (mm),% neighborhood in region,other close regions
A,7.21123,35.4233,31.2419,Right-Amygdala,centroid,69.69837060671003,,
A,11.506,35.1998,31.2036,Right-Amygdala,centroid,68.51708911428301,,
A,15.8503,34.9505,31.1624,Right-Amygdala,centroid,67.56395431529583,,
A,20.1729,34.688,31.1137,Right-Amygdala,centroid,66.86871110593373,,
A,24.4662,34.4101,31.0271,Right-Amygdala,centroid,66.4102473551872,,
A,28.7741,34.1088,30.8793,Right-Amygdala,centroid,66.1668638088072,,
A,33.1115,33.7873,30.6881,Right-Amygdala,centroid,66.16210331702024,,
A,37.4553,33.4515,30.4812,Right-Amygdala,centroid,66.42350367015308,,
A,41.7792,33.103,30.2736,Right-Amygdala,centroid,66.95572974584098,,
A,46.0653,32.7571,30.0852,Right-Amygdala,centroid,67.76735769646398,,
B,16.4085,15.6395,33.0902,Right-Amygdala,centroid,59.42222509603361,,
B,16.5592,18.9135,35.6207,Right-Amygdala,centroid,62.97219979808648,,
B,16.5952,22.1794,38.1582,Right-Amygdala,centroid,66.60880217552182,,
B,16.5006,25.4196,40.6658,Right-Amygdala,centroid,70.27962021984064,,
B,16.2837,28.6311,43.1293,Right-Amygdala,centroid,73.95879768750976,,
B,15.9711,31.8185,45.5502,Right-Amygdala,centroid,77.63862923747855,,
B,15.5929,34.9749,47.9274,Right-Amygdala,centroid,81.30527788619547,,
B,15.1676,38.0697,50.2373,Right-Amygdala,centroid,84.9159630825467,,
B,14.6967,41.0563,52.4333,Right-Amygdala,centroid,88.40236785076736,,
B,14.1733,43.8951,54.4724,Right-Amygdala,centroid,91.70420561154478,,
C,36.2547,13.3265,-16.2042,Right-Amygdala,centroid,23.033177583239073,,
C,36.0463,14.3063,-11.6461,Right-Amygdala,centroid,25.156055990775112,,
C,35.8613,15.3055,-7.14511,Right-Amygdala,centroid,27.899689778225355,,
C,35.7082,16.316,-2.69281,Right-Amygdala,centroid,31.078673574798522,,
C,35.6627,17.3046,1.7332,Right-Amygdala,centroid,34.568548674994034,,
C,35.8426,18.3031,6.15281,Right-Amygdala,centroid,38.3389558068873,,
C,36.2376,19.3012,10.582,Right-Amygdala,centroid,42.3197119864984,,
C,36.7566,20.2636,15.0431,Right-Amygdala,centroid,46.44031611167109,,
C,37.3081,21.1814,19.5293,Right-Amygdala,centroid,50.64550343392789,,
C,37.8237,22.0804,24.025,Right-Amygdala,centroid,54.906193335345456,,
C,38.2729,22.9764,28.5632,Right-Amygdala,centroid,59.23991899500567,,
C,38.6515,23.8722,33.1574,Right-Amygdala,centroid,63.65134260128549,,
C,38.9739,24.7846,37.7564,Right-Amygdala,centroid,68.10166463205309,,
C,39.2383,25.7217,42.3194,Right-Amygdala,centroid,72.55203108770155,,
C,39.4421,26.6635,46.8351,Right-Amygdala,centroid,76.97725602601713,,
