Electrode name,x,y,z,assigned location,assignment method,distance to ROI (mm),% neighborhood in region,other close regions
A,7.21123,35.4233,31.2419,Right-Amygdala,surface,61.648087834543695,,
A,11.506,35.1998,31.2036,Right-Amygdala,surface,60.592628949989695,,
A,15.8503,34.9505,31.1624,Right-Amygdala,surface,59.79882024600776,,
A,20.1729,34.688,31.1137,Right-Amygdala,surface,59.29414415264598,,
A,24.4662,34.4101,31.0271,Right-Amygdala,surface,58.99391209078628,,
A,28.7741,34.1088,30.8793,Right-Amygdala,surface,58.8940385415531,,
A,33.1115,33.7873,30.6881,Right-Amygdala,surface,58.978672953242736,,
A,37.4553,33.4515,30.4812,Right-Amygdala,surface,59.324816269386574,,
A,41.7792,33.103,30.2736,Right-Amygdala,surface,59.958310401576824,,
A,46.0653,32.7571,30.0852,Right-Amygdala,surface,60.88845922418967,,
B,16.4085,15.6395,33.0902,Right-Amygdala,surface,50.006698140974606,,
B,16.5592,18.9135,35.6207,Right-Amygdala,surface,53.750899690419594,,
B,16.5952,22.1794,38.1582,Right-Amygdala,surface,57.56265911667411,,
B,16.5006,25.4196,40.6658,Right-Amygdala,surface,61.3910759462745,,
B,16.2837,28.6311,43.1293,Right-Amygdala,surface,65.20701800394373,,
B,15.9711,31.8185,45.5502,Right-Amygdala,surface,69.00171420531547,,
B,15.5929,34.9749,47.9274,Right-Amygdala,surface,72.77293514717284,,
B,15.1676,38.0697,50.2373,Right-Amygdala,surface,76.47849083057379,,
B,14.6967,41.0563,52.4333,Right-Amygdala,surface,80.05019935427924,,
B,14.1733,43.8951,54.4724,Right-Amygdala,surface,83.42816433487353,,
C,36.2547,13.3265,-16.2042,Right-Amygdala,surface,15.573035843730212,,
C,36.0463,14.3063,-11.6461,Right-Amygdala,surface,18.010185466983252,,
C,35.8613,15.3055,-7.14511,Right-Amygdala,surface,20.982284454856185,,
C,35.7082,16.316,-2.69281,Right-Amygdala,surface,24.28776135805659,,
C,35.6627,17.3046,1.7332,Right-Amygdala,surface,27.876968991922155,,
C,35.8426,18.3031,6.15281,Right-Amygdala,surface,31.746304378239156,,
C,36.2376,19.3012,10.582,Right-Amygdala,surface,35.793857281852986,,
C,36.7566,20.2636,15.0431,Right-Amygdala,surface,39.488116909336995,,
C,37.3081,21.1814,19.5293,Right-Amygdala,surface,43.352186843242976,,
C,37.8237,22.0804,24.025,Right-Amygdala,surface,47.32254160367365,,
C,38.2729,22.9764,28.5632,Right-Amygdala,surface,51.39886134306694,,
C,38.6515,23.8722,33.1574,Right-Amygdala,surface,55.58635557238961,,
C,38.9739,24.7846,37.7564,Right-Amygdala,surface,59.84886530634451,,
C,39.2383,25.7217,42.3194,Right-Amygdala,surface,64.14265803974902,,
C,39.4421,26.6635,46.8351,Right-Amygdala,surface,68.43498330720143,,
